Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,1,2092.3,1691.1
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,2,2833.1,3736.0
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,3,2850.0,3858.7
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,4,3667.2,4067.8
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,5,3783.0,4447.3
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,6,3953.8,5040.7
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,7,4086.4,5320.9
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,8,4183.5,5675.5
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,9,4730.6,5695.6
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,FNF,10,5050.1,5907.1
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,1,407.53,616.08
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,2,469.54,626.45
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,3,879.15,659.96
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,4,1284.2,2129.3
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,5,1863.1,2387.9
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,6,1946.0,2648.9
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,7,2115.8,2950.6
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,8,2313.2,3138.2
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,9,2348.5,3271.5
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNF,10,2578.1,3728.5
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,1,429.35,607.34
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,2,922.30,1355.1
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,3,1482.5,1558.3
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,4,1503.7,1604.2
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,5,1650.3,2377.4
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,6,1703.7,2408.7
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,7,2052.7,2640.1
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,8,2192.4,2850.9
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,9,2516.4,3022.8
13.00,16.00,8.50,72,162.80,Steel,"2,05E+11",7850,0.28,NNN,10,2663.1,3568.4
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,1,332.8944252685284,1739.0250572108157
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,2,1200.502162667955,3842.9465020574507
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,3,1519.4531352800739,3876.6267397458414
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,4,1783.1285009512308,4088.439204155093
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,5,1938.7089583556808,4579.515311442955
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,6,1964.004118566679,5076.866955910584
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,7,2221.19795548953,5487.2949426838995
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,8,2566.3116866576734,5730.588469633453
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,9,3026.1872874822666,5856.905311845155
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,FNF,10,3097.067662254469,6094.602996137816
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,1,208.09235884796104,620.449526593902
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,2,303.8318664830254,628.8838770589255
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,3,864.9142430801527,678.7478988234606
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,4,1045.1655811235134,2190.971025614285
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,5,1434.50632838054,2404.913710569359
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,6,1611.0522112820354,2733.5693634372706
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,7,1953.8620580298414,3044.128766030774
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,8,1991.9290550200126,3154.2825482880326
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,9,2348.658281561395,3373.6033546953117
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNF,10,2599.0208291129106,3800.589494468371
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,1,427.6551827676617,605.39926163974
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,2,928.4639004194138,1393.2862127231117
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,3,1510.0949880438493,1566.1274764502898
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,4,1523.7639865654694,1648.7728611985328
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,5,1697.6697537468863,2420.236619820098
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,6,1706.807261413662,2443.147187781687
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,7,2062.3256094875887,2715.2799790247263
13.00,16.00,8.50,72,162.80,AlSi10Mg,"7,00E+10",2630,0.35,NNN,8,2253.1157121801293,2929.116611048984
